Category,Best_by_RMSE,Best_RMSE,Best_by_MAE,Best_MAE,Best_by_sMAPE,Best_sMAPE,Winner,Naive_RMSE,Beat_Naive,RMSE_Improvement_vs_Naive_%,Metric_Agreement_Note,Baseline_Note
Clothing,SARIMA-family,731.7,LightGBM,315.62,SARIMA-family,3.6,SARIMA-family,807.84,True,9.42513368983957,"Metric disagreement: RMSE=SARIMA-family, MAE=LightGBM, sMAPE=SARIMA-family. RMSE is kept as the primary metric because large demand errors are more costly for inventory planning.",Best model beats Naive baseline by 9.43% RMSE.
Electronics,SARIMA-family,521.79,SARIMA-family,272.79,SARIMA-family,3.03,SARIMA-family,708.68,True,26.371564034543095,"RMSE, MAE, and sMAPE select the same model.",Best model beats Naive baseline by 26.37% RMSE.
Furniture,SARIMA-family,594.26,SARIMA-family,272.25,SARIMA-family,3.09,SARIMA-family,780.22,True,23.834303145266723,"RMSE, MAE, and sMAPE select the same model.",Best model beats Naive baseline by 23.83% RMSE.
Groceries,SARIMA-family,567.87,SARIMA-family,278.84,SARIMA-family,3.07,SARIMA-family,541.17,False,-4.933754642718563,"RMSE, MAE, and sMAPE select the same model.",Naive baseline has lower RMSE than all four main models; discuss this category as a limitation.
Toys,SARIMA-family,571.03,SARIMA-family,325.88,SARIMA-family,3.57,SARIMA-family,640.21,True,10.805829337248724,"RMSE, MAE, and sMAPE select the same model.",Best model beats Naive baseline by 10.81% RMSE.
