Category,SARIMA_family_RMSE,SARIMA_family_MAE,SARIMA_family_sMAPE,LGB_RMSE,LGB_MAE,LGB_sMAPE,Naive_RMSE,MA4_RMSE,LSTM_RMSE,LSTM_MAE,LSTM_sMAPE,HYBRID_RMSE,HYBRID_MAE,HYBRID_sMAPE
Clothing,731.7,316.96,3.6,775.85,315.62,3.67,807.84,809.97,773.88,320.56,3.72,779.559,487.867,5.343
Electronics,521.79,272.79,3.03,630.84,322.77,3.61,708.68,636.84,598.61,313.8,3.51,1085.968,922.698,9.416
Furniture,594.26,272.25,3.09,703.16,310.18,3.55,780.22,720.51,699.06,309.42,3.55,603.145,285.146,3.22
Groceries,567.87,278.84,3.07,645.59,322.31,3.57,541.17,645.9,637.32,326.98,3.62,592.513,319.711,3.501
Toys,571.03,325.88,3.57,661.52,351.15,3.89,640.21,681.82,640.7,349.9,3.87,575.867,328.584,3.599
