Category,Best_by_Forecast_Accuracy,Best_Forecast_Accuracy_%,Best_by_R2,Best_R2_Score,Best_by_Normalized_RMSE,Best_Normalized_RMSE,Best_by_Directional_Sensitivity,Best_Directional_Sensitivity,Report_Use_Note
Clothing,SARIMA-family,96.4011,LSTM,-0.054235,SARIMA-family,0.077992,SARIMA-family,0.9,Use RMSE as the primary winner-selection metric for inventory planning. Use these extra metrics as supporting evidence and robustness checks.
Electronics,SARIMA-family,96.967,SARIMA-family,-0.002839,SARIMA-family,0.055674,SARIMA-family,0.9,Use RMSE as the primary winner-selection metric for inventory planning. Use these extra metrics as supporting evidence and robustness checks.
Furniture,SARIMA-family,96.9112,SARIMA-family,-0.022002,SARIMA-family,0.063537,SARIMA-family,0.888889,Use RMSE as the primary winner-selection metric for inventory planning. Use these extra metrics as supporting evidence and robustness checks.
Groceries,SARIMA-family,96.9263,SARIMA-family,-0.060021,SARIMA-family,0.059975,LightGBM,0.666667,Use RMSE as the primary winner-selection metric for inventory planning. Use these extra metrics as supporting evidence and robustness checks.
Toys,SARIMA-family,96.4323,SARIMA-family,0.017287,SARIMA-family,0.059966,LightGBM,0.714286,Use RMSE as the primary winner-selection metric for inventory planning. Use these extra metrics as supporting evidence and robustness checks.
