Category,ARIMA_M_RMSE,ARIMA_M_MAE,ARIMA_M_sMAPE,ARIMA_A_RMSE,ARIMA_A_MAE,ARIMA_A_sMAPE,ARIMAX_M_RMSE,ARIMAX_M_MAE,ARIMAX_M_sMAPE,ARIMAX_A_RMSE,ARIMAX_A_MAE,ARIMAX_A_sMAPE,SARIMA_M_RMSE,SARIMA_M_MAE,SARIMA_M_sMAPE,SARIMA_A_RMSE,SARIMA_A_MAE,SARIMA_A_sMAPE,SARIMAX_M_RMSE,SARIMAX_M_MAE,SARIMAX_M_sMAPE,SARIMAX_A_RMSE,SARIMAX_A_MAE,SARIMAX_A_sMAPE,Winner
Clothing,9405.04,9381.67,200.0,732.8,344.15,3.88,9386.39,9264.78,178.69,731.7,316.96,3.6,839.09,472.4,5.21,956.78,573.09,6.19,791.55,386.98,4.33,867.78,561.34,6.13,ARIMAX_A
Electronics,9386.76,9372.29,200.0,528.32,254.92,2.85,9340.43,9260.66,181.15,551.95,292.35,3.24,536.71,270.54,3.01,550.01,278.46,3.09,537.72,288.38,3.2,521.79,272.79,3.03,SARIMAX_A
Furniture,9371.38,9352.93,200.0,639.01,295.29,3.33,9081.58,8957.99,171.67,594.26,272.25,3.09,754.99,433.55,4.74,785.11,455.2,4.95,737.49,390.35,4.29,774.16,460.74,5.01,ARIMAX_A
Groceries,570.48,278.81,3.07,567.87,278.84,3.07,585.22,292.34,3.21,583.33,292.0,3.21,639.16,336.62,3.66,619.95,311.9,3.41,634.2,365.83,3.97,625.86,387.87,4.2,ARIMA_A
Toys,9540.03,9522.62,200.0,573.45,306.51,3.37,9115.07,9043.03,171.93,571.03,325.88,3.57,577.58,348.24,3.8,580.61,323.36,3.54,596.45,404.18,4.4,633.29,411.55,4.45,ARIMAX_A
