Category,Train_RMSE,Train_MAE,Val_RMSE,Val_MAE,Test_RMSE,Test_MAE,Test_sMAPE,Naive_RMSE,Naive_MAE,MA4_RMSE,MA4_MAE
Clothing,242.03,200.12,294.11,226.18,775.85,315.62,3.67,807.84,358.69,809.97,347.08
Electronics,225.1,181.5,279.46,226.69,630.84,322.77,3.61,708.68,433.06,636.84,341.64
Furniture,231.58,175.96,195.77,152.41,703.16,310.18,3.55,780.22,408.94,720.51,332.19
Groceries,225.58,182.12,311.5,234.89,645.59,322.31,3.57,541.17,310.31,645.9,375.2
Toys,241.21,186.04,196.16,162.4,661.52,351.15,3.89,640.21,339.88,681.82,386.69
